symbol,name,asset_class,attributes,exchange,status,tradable
CPLS,"AB Active ETFs, Inc. AB Core Plus Bond ETF",us_equity,[],NASDAQ,active,True
PXI,Invesco Exchange-Traded Fund Trust Invesco Dorsey Wright Energy Momentum ETF,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PXLW,"Pixelworks, Inc. Common Stock",us_equity,['has_options'],NASDAQ,active,True
PXS,Pyxis Tankers Inc. Common Stock,us_equity,[],NASDAQ,active,True
PY,Principal Exchange-Traded Funds Principal Value ETF,us_equity,['fractional_eh_enabled'],NASDAQ,active,True
PYCR,"Paycor HCM, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PYPD,PolyPid Ltd. Ordinary Shares,us_equity,[],NASDAQ,active,True
PYPL,"PayPal Holdings, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PYXS,"Pyxis Oncology, Inc. Common Stock",us_equity,['has_options'],NASDAQ,active,True
PYZ,Invesco Exchange-Traded Fund Trust Invesco Dorsey Wright Basic Materials Momentum ETF,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
PZZA,"Papa John's International, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QABA,First Trust NASDAQ ABA Community Bank Index Fund,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QAT,iShares Trust iShares MSCI Qatar ETF,us_equity,['fractional_eh_enabled'],NASDAQ,active,True
QBIG,Invesco Actively Managed Exchange-Traded Fund Trus Invesco Top QQQ ETF,us_equity,[],NASDAQ,active,True
QBUF,Innovator ETFs Trust Innovator Nasdaq-100 10 Buffer ETF Quarterly,us_equity,[],NASDAQ,active,True
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QCLR,Global X Funds Global X NASDAQ 100 Collar 95-110 ETF,us_equity,[],NASDAQ,active,True
QCML,GraniteShares ETF Trust GraniteShares 2x Long QCOM Daily ETF,us_equity,[],NASDAQ,active,True
QCOM,QUALCOMM Incorporated Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QCRH,"QCR Holdings, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QDEL,QuidelOrtho Corporation Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QDTY,Tidal Trust II YieldMax Nasdaq 100 0DTE Covered Call Strategy ETF,us_equity,[],NASDAQ,active,True
QETA,Quetta Acquisition Corporation Common Stock,us_equity,[],NASDAQ,active,True
QETAR,Quetta Acquisition Corporation Right,us_equity,[],NASDAQ,active,True
QETAU,Quetta Acquisition Corporation Unit,us_equity,[],NASDAQ,active,True
QFIN,"Qifu Technology, Inc. American Depositary Shares",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QH,Quhuo Limited American Depository Shares,us_equity,[],NASDAQ,active,True
QIPT,Quipt Home Medical Corp. Common Shares,us_equity,['has_options'],NASDAQ,active,True
QLGN,"Qualigen Therapeutics, Inc. Common Stock",us_equity,[],NASDAQ,active,True
QLYS,"Qualys, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QMCO,Quantum Corporation Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QMID,WisdomTree Trust WisdomTree U.S. MidCap Quality Growth Fund,us_equity,[],NASDAQ,active,True
QMMM,QMMM Holdings Limited Ordinary Shares,us_equity,[],NASDAQ,active,True
QMOM,EA Series Trust Alpha Architect U.S. Quantitative Momentum ETF,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QNCX,"Quince Therapeutics, Inc. Common Stock",us_equity,['has_options'],NASDAQ,active,True
QNRX,"Quoin Pharmaceuticals, Ltd. American Depositary Shares",us_equity,[],NASDAQ,active,True
QNST,"QuinStreet, Inc. Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QRHC,Quest Resource Holding Corporation Common Stock,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QNTM,Quantum Biopharma Ltd. Class B Subordinate Voting Shares,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QNXT,iShares Trust iShares Nasdaq-100 ex Top 30 ETF,us_equity,['has_options'],NASDAQ,active,True
QOWZ,Invesco Exchange-Traded Fund Trust II Invesco Nasdaq Free Cash Flow Achievers ETF,us_equity,[],NASDAQ,active,True
QQA,Invesco Actively Managed Exchange-Traded Fund Trus Invesco QQQ Income Advantage ETF,us_equity,[],NASDAQ,active,True
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QQJG,Invesco Exchange-Traded Fund Trust II Invesco ESG NASDAQ Next Gen 100 ETF,us_equity,[],NASDAQ,active,True
QQLV,Invesco Exchange-Traded Fund Trust II Invesco QQQ Low Volatility ETF,us_equity,[],NASDAQ,active,True
QQMG,Invesco Exchange-Traded Fund Trust II Invesco ESG NASDAQ 100 ETF,us_equity,[],NASDAQ,active,True
QQQ,"Invesco QQQ Trust, Series 1",us_equity,"['fractional_eh_enabled', 'has_options', 'options_late_close']",NASDAQ,active,True
EVER,"EverQuote, Inc. Class A Common Stock",us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
AAVM,EA Series Trust Alpha Architect Global Factor Equity ETF,us_equity,[],NASDAQ,active,True
QQQA,ProShares Trust ProShares Nasdaq-100 Dorsey Wright Momentum ETF,us_equity,['has_options'],NASDAQ,active,True
QQQE,Direxion NASDAQ-100 Equal Weighted Index Shares,us_equity,"['fractional_eh_enabled', 'has_options']",NASDAQ,active,True
QQQG,Pacer Funds Trust Pacer Nasdaq 100 Top 50 Cash Cows Growth Leaders ETF,us_equity,[],NASDAQ,active,True
